Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
ANA-LEX,HYDROCORTISONE/LIDOCAINE/ALOE,65,105,105.8,28953.58,63,,71,71,15999.44,,44,66.45,3456.60,N,N,N,N
ANADROL-50,OXYMETHOLONE,33,329,340.9,900652.97,49,,52,58,97471.71,,12,300.96,6367.26,N,N,N,N
ANAFRANIL,CLOMIPRAMINE HCL,107,551,707.2,1619432.61,94,,244,351.2,665762.33,,46,270.31,26139.28,N,N,N,N
ANAGRELIDE HCL,ANAGRELIDE HCL,6217,42968,63126.9,8594016.08,7515,,40098,59430.6,7815193.24,,7049,26498.26,997151.21,N,N,N,N
ANALPRAM HC,HYDROCORTISONE/PRAMOXINE,296,398,429.8,85854.73,296,,352,383.8,77004.63,,252,294.11,15259.09,N,N,N,N
ANAPROX DS,NAPROXEN SODIUM,50,127,171.8,47487.19,46,,72,96.7,27083.73,,29,157.60,3280.38,N,N,N,N
ANASPAZ,HYOSCYAMINE SULFATE,427,752,888.5,13910.19,431,,543,667.7,10258.34,,310,472.18,4670.70,N,N,N,N
ANASTROZOLE,ANASTROZOLE,62446,1366706,2483263.8,24638800.00,276776,,1254474,2312339.1,23141531.32,,255299,521442.04,10086534.16,N,N,N,N
ANDRODERM,TESTOSTERONE,8622,32328,43767.8,18233016.69,8538,,19690,28612.9,11835988.89,,5578,47267.30,1797525.85,N,N,N,N
ANDROGEL,TESTOSTERONE,44592,309030,400464.2,242801147.25,76594,,226487,305511.9,182685672.16,,58307,371056.00,24807428.35,N,N,N,N
ANDROID,METHYLTESTOSTERONE,,21,25.7,58920.84,,#,,,,#,,5.35,6128.25,N,N,N,N
ANDROXY,FLUOXYMESTERONE,98,303,353.6,86068.52,92,,221,270.9,58602.53,,70,259.36,13879.98,N,N,N,N
ANGELIQ,DROSPIRENONE/ESTRADIOL,294,1147,1680.8,223623.79,279,,821,1244,165642.22,,217,2059.56,75983.82,N,N,N,N
ANORO ELLIPTA,UMECLIDINIUM BRM/VILANTEROL TR,48442,488465,588792.5,180411886.05,131205,,405574,494041.1,151465075.46,,107937,1063148.24,19517324.50,N,N,N,N
ANTABUSE,DISULFIRAM,27,68,99.3,23684.51,26,,33,57,12484.76,#,,67.96,1639.71,N,N,N,N
ANTARA,"FENOFIBRATE,MICRONIZED",659,2069,3154.4,1410146.22,739,,1683,2671.4,1187747.95,,570,3026.36,98586.21,N,N,N,N
ANTIVERT,MECLIZINE HCL,15,17,17.0,359.51,16,#,,,,#,,4.87,22.62,N,N,N,N
ANUCORT-HC,HYDROCORTISONE ACETATE,37,67,67.2,14549.85,43,#,,,,#,,2.95,211.10,N,N,N,N
ANUSOL-HC,HYDROCORTISONE,1661,2190,2226.0,212261.45,1797,,1879,1913,179311.69,,1541,1941.05,38602.34,N,N,N,N
ANZEMET,DOLASETRON MESYLATE,20,134,145.0,380255.25,25,,40,48,72200.61,,12,51.42,6140.67,N,N,N,N
APEXICON E,DIFLORASONE DIACETATE/EMOLL,677,1150,1244.1,856606.66,754,,1002,1093.1,736889.79,,677,1188.83,45191.23,N,N,N,N
APIDRA,INSULIN GLULISINE,5553,21467,29403.1,13655985.68,5795,,14308,20207.3,8679730.12,,3856,54659.05,1162407.53,N,N,N,N
APIDRA SOLOSTAR,INSULIN GLULISINE,10088,36610,57730.0,26587627.63,11581,,26464,43262.5,18843497.91,,8420,95738.32,2354329.39,N,N,N,N
APLENZIN,BUPROPION HBR,394,2133,2942.8,7229655.79,352,,1071,1636.3,3633505.56,,192,3142.86,145550.68,N,N,N,N
APOKYN,APOMORPHINE HCL,479,2913,3143.6,59962870.09,923,,2296,2482.4,47933111.80,,747,54013.98,2619875.87,N,N,N,N
APRACLONIDINE HCL,APRACLONIDINE HCL,1237,5279,6995.0,464384.74,1814,,4875,6495.7,433973.03,,1665,3142.05,110948.73,N,N,N,N
APRI,DESOGESTREL-ETHINYL ESTRADIOL,2220,11123,14431.4,231616.69,1988,,31,49,810.15,*,,8457.97,11968.00,N,N,N,N
APRISO,MESALAMINE,15888,145663,189300.1,71171343.43,26819,,118346,157397.4,58563044.17,,21985,247230.71,9196810.80,N,N,N,N
APTENSIO XR,METHYLPHENIDATE HCL,40,103,116.7,27938.75,39,,44,56.7,14848.35,,18,87.50,3279.29,N,N,N,N
APTIOM,ESLICARBAZEPINE ACETATE,3354,37963,41716.4,39273336.05,5136,,9023,10298.6,7975265.31,,1424,63081.85,671892.49,N,N,N,N
APTIVUS,TIPRANAVIR,277,2119,2197.0,3055559.84,244,,463,520,718091.86,,61,3648.61,51704.26,N,N,N,N
ARALAST NP,ALPHA-1-PROTEINASE INHIBITOR,334,4392,4407.1,36561363.58,339,,2121,2136.1,17310097.23,,163,9949.90,1121198.52,N,N,N,N
ARANELLE,NORETHINDRONE-ETHINYL ESTRAD,141,743,937.4,23464.44,125,*,,,,*,,621.18,1239.30,N,N,N,N
ARANESP,DARBEPOETIN ALFA IN POLYSORBAT,5469,35616,37657.9,48931377.30,7557,,31162,32939.8,42359287.30,,6556,73501.47,1534725.22,N,N,N,N
ARAVA,LEFLUNOMIDE,231,948,1374.3,1623535.25,204,,682,1062.2,1254923.89,,144,743.90,36076.36,N,N,N,N
ARBINOXA,CARBINOXAMINE MALEATE,14,35,51.0,1393.03,19,#,,,,#,,2.95,400.30,N,N,N,N
ARCALYST,RILONACEPT,11,59,59.0,1205973.12,11,,32,32,655152.27,*,,25.80,43939.44,N,N,N,N
ARCAPTA NEOHALER,INDACATEROL MALEATE,1473,6844,9596.0,2015283.65,1730,,5896,8453,1770596.07,,1447,13260.52,356452.73,N,N,N,N
ARESTIN,MINOCYCLINE HCL MICROSPHERES,1909,3552,3552.0,7964336.28,3414,,3299,3299,7228188.76,,3166,3954.55,434491.13,N,N,N,N
ARICEPT,DONEPEZIL HCL,2512,10830,16169.9,7763588.44,2246,,10260,15439.7,7418811.63,,2141,17341.87,571660.78,N,N,N,N
ARIMIDEX,ANASTROZOLE,900,4224,6694.6,3064181.12,843,,3854,6168.5,2832940.11,,760,8242.27,303482.10,N,N,N,N
BETAPACE AF,SOTALOL HCL,149,691,1157.9,636357.93,140,,665,1120.3,608621.14,#,,935.85,91159.38,N,N,N,N
ARIPIPRAZOLE,ARIPIPRAZOLE,136992,2815282,3132980.6,1081822112.00,414038,,933358,1076247.5,355352828.82,,144298,3660052.75,33185901.17,N,N,N,Y
ARIPIPRAZOLE ODT,ARIPIPRAZOLE,573,1705,1830.5,1775739.92,533,,469,519.3,466776.94,,133,1917.40,23851.74,N,N,N,Y
ARISTADA,ARIPIPRAZOLE LAUROXIL,2018,15258,15555.3,28694023.06,3232,,1190,1211.3,2124762.52,,279,28996.95,48095.77,N,N,N,Y
ARIXTRA,FONDAPARINUX SODIUM,110,465,518.3,1697427.72,102,,195,240.3,768587.05,,59,360.52,24598.60,N,N,N,N
ARMODAFINIL,ARMODAFINIL,9409,34410,41964.2,20212981.40,11791,,17626,22698,10639941.40,,6396,27264.78,1407900.03,N,N,N,N
ARMOUR THYROID,"THYROID,PORK",39580,236765,419207.0,10119892.75,54142,,201647,367326.3,8730914.16,,46825,196353.60,5698253.25,N,N,N,N
ARNUITY ELLIPTA,FLUTICASONE FUROATE,7597,34047,40014.6,6920700.58,11822,,27240,32504.9,5592027.32,,9455,46969.84,1093508.15,N,N,N,N
AROMASIN,EXEMESTANE,575,2444,3795.0,2911501.32,520,,2272,3517,2688909.27,,479,4851.38,222772.85,N,N,N,N
ARTHROTEC 50,DICLOFENAC SODIUM/MISOPROSTOL,303,1099,1569.3,568226.98,267,,975,1398.8,499246.90,,236,1725.71,68788.58,N,N,N,N
ARTHROTEC 75,DICLOFENAC SODIUM/MISOPROSTOL,891,3355,5132.6,1720941.58,794,,2944,4582.8,1531026.61,,702,6073.41,214900.41,N,N,N,N
ARZERRA,OFATUMUMAB,,19,19.0,205992.13,,#,,,,#,,0.00,9697.21,N,N,N,N
ASA-BUTALB-CAFFEINE-CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,17,44,44.3,4153.96,15,,23,23.3,2837.00,*,,82.12,459.82,Y,N,N,N
ASACOL HD,MESALAMINE,19188,116704,162844.2,114709251.45,24169,,95658,137323.5,94016194.92,,20111,202173.65,11268644.58,N,N,N,N
ASCOMP WITH CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,3961,15913,16427.1,1950315.09,3514,,10479,10896.5,1301164.98,,2429,15322.95,366863.07,Y,N,N,N
ASHLYNA,L-NORGEST/E.ESTRADIOL-E.ESTRAD,533,1070,3152.1,160757.25,495,*,,,,*,,1626.98,9094.38,N,N,N,N
ASMANEX,MOMETASONE FUROATE,44650,222284,312225.0,61639071.54,65702,,179760,260245.5,51252748.73,,52559,331722.80,9505832.91,N,N,N,N
ASMANEX HFA,MOMETASONE FUROATE,11633,30098,40509.2,6715599.17,13959,,21263,29360.6,4867282.76,,10166,62580.47,858429.39,N,N,N,N
ASPIRIN-CAFFEINE-DIHYDROCODEIN,ASPIRIN/CAFFEIN/DIHYDROCODEINE,38,88,104.7,13925.86,38,,76,90.7,12751.39,#,,24.33,1292.37,Y,N,N,N
ASPIRIN-DIPYRIDAMOLE ER,ASPIRIN/DIPYRIDAMOLE,57570,374486,554594.2,156328790.90,70064,,342315,511148.3,143905104.70,,63919,530218.11,16327427.44,N,N,N,N
ASSURE ID INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SAFE,1ML",24,222,222.0,2516.80,33,,207,207,2353.18,#,,154.58,323.52,N,N,N,N
ASSURE ID INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SF 0.5ML",63,1648,1648.7,19330.83,198,,1542,1542.7,18177.69,#,,531.99,3392.65,N,N,N,N
ASTAGRAF XL,TACROLIMUS,106,612,692.5,310239.33,91,,155,188.5,62433.88,,26,777.73,16335.19,N,N,N,N
ASTELIN,AZELASTINE HCL,25,26,32.7,2124.29,25,#,,,,#,,30.21,526.81,N,N,N,N
ASTEPRO,AZELASTINE HCL,1804,4914,6125.2,852411.71,1883,,3839,4897.4,683398.00,,1514,4253.13,135877.25,N,N,N,N
ATACAND,CANDESARTAN CILEXETIL,3842,15560,27092.9,3111852.49,3581,,14844,26003.1,2984248.19,,3416,15656.91,849985.97,N,N,N,N
ATACAND HCT,CANDESARTAN/HYDROCHLOROTHIAZID,1107,4807,8205.8,1081693.78,989,,4592,7864.8,1035117.04,,941,6026.89,287503.27,N,N,N,N
ATELVIA,RISEDRONATE SODIUM,2623,16736,21387.9,4578330.53,3767,,15529,19962.6,4271197.54,,3502,23481.08,527291.20,N,N,N,N
ATENOLOL,ATENOLOL,322854,12413623,25332130.0,87427418.26,2518905,,10934282,22986829.2,79658202.80,,2263030,3676260.20,35622815.73,N,N,N,N
ATENOLOL-CHLORTHALIDONE,ATENOLOL/CHLORTHALIDONE,79699,688640,1380601.3,16882006.93,143840,,602527,1244720,15113391.60,,128035,359303.90,4981571.50,N,N,N,N
ATIVAN,LORAZEPAM,2607,12492,14771.9,28670310.18,2155,,9752,11842.9,21219264.97,,1720,15682.66,1039222.63,N,N,N,N
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,470191,44473312,84835619.7,756926765.73,9405696,,38173204,75015371.6,669825194.80,,8187209,16083428.47,216539310.21,N,N,N,N
ATOVAQUONE,ATOVAQUONE,8147,33071,34417.8,34164048.35,9496,,15884,16816.8,15445668.10,,5026,35739.41,1664415.83,N,N,N,N
ATOVAQUONE-PROGUANIL HCL,ATOVAQUONE/PROGUANIL HCL,17912,51067,56191.2,5344560.63,46716,,48449,53038,4841834.95,,44913,8171.72,1872856.72,N,N,N,N
ATRALIN,TRETINOIN,127,225,250.8,136766.79,127,,168,183.3,100165.91,,99,149.20,14095.39,N,N,N,N
ATRIPLA,EFAVIRENZ/EMTRICITAB/TENOFOVIR,10524,210294,222805.0,533130637.75,24766,,60454,67487.6,161216487.90,,7413,796109.38,9833367.20,N,N,N,N
ATROPINE SULFATE,ATROPINE SULFATE,29447,119141,146092.8,5526158.94,80431,,100093,122559.1,4609009.40,,71460,52191.74,828695.29,N,N,N,N
ATROVENT,IPRATROPIUM BROMIDE,213,477,634.9,86790.82,212,,446,601.9,82868.56,,196,133.00,18129.49,N,N,N,N
ATROVENT HFA,IPRATROPIUM BROMIDE,71999,332992,401725.8,122377908.26,98321,,242998,297783.4,90859610.03,,74045,919601.10,9470952.62,N,N,N,N
AUBAGIO,TERIFLUNOMIDE,3275,63501,75803.5,450224366.93,9264,,17728,21390.1,126982315.67,,2504,424570.00,15137562.72,N,N,N,N
AUGMENTIN,AMOXICILLIN/POTASSIUM CLAV,160,182,182.0,165766.91,159,,150,150,131923.99,,131,498.29,6450.98,N,N,Y,N
AUGMENTIN XR,AMOXICILLIN/POTASSIUM CLAV,80,118,120.4,150332.21,77,,69,69.4,80930.75,,54,177.88,7166.94,N,N,Y,N
AURYXIA,FERRIC CITRATE,3474,22754,25927.8,22757764.29,7094,,7212,8222.6,6201266.03,,2251,105397.52,828262.31,N,N,N,N
AUTOSHIELD DUO PEN NEEDLE,"PEN NEEDLE,DUAL SAFETY,DIABETC",19281,125899,141854.2,7801584.26,33281,,104476,117067.8,6373754.86,,27664,73700.51,899899.16,N,N,N,N
AUTOSHIELD PEN NEEDLE,"PEN NEEDLE, DIABETIC, SAFETY",214,443,594.4,26786.11,227,,327,437.5,20569.48,,171,459.84,4131.38,N,N,N,N
AUVI-Q,EPINEPHRINE,12,14,14.0,7265.58,12,*,,,,*,,34.80,137.00,N,N,N,N
AVALIDE,IRBESARTAN/HYDROCHLOROTHIAZIDE,1179,5311,9151.0,1959400.61,1047,,5027,8768.8,1875763.25,,994,6289.95,336251.97,N,N,N,N
AVANDIA,ROSIGLITAZONE MALEATE,635,2916,4732.1,937404.64,699,,2476,4154.3,826248.85,,595,5472.13,214581.01,N,N,N,N
AVAPRO,IRBESARTAN,3393,14969,25783.5,4849299.97,2996,,14173,24580.2,4619826.66,,2842,18790.92,958679.57,N,N,N,N
AVASTIN,BEVACIZUMAB,348,4594,4613.6,24781798.00,892,,3784,3802.2,19785076.59,,754,44440.99,623422.54,N,N,N,N
AVC,SULFANILAMIDE,106,174,212.0,39724.62,111,,158,195,36309.27,,99,127.00,5908.82,N,N,N,N
AVEED,TESTOSTERONE UNDECANOATE,130,557,1028.5,499148.01,176,,374,697.5,333451.77,,118,531.40,69403.56,N,N,N,N
AVELOX,MOXIFLOXACIN HCL,312,497,514.4,172514.91,309,,379,396.4,135808.05,,247,848.01,16648.01,N,N,Y,N
AVELOX IV,MOXIFLOXACIN IN NACL (ISO-OSM),178,366,366.0,90715.99,192,,292,292,70680.41,,169,990.88,10584.01,N,N,Y,N
AVIANE,LEVONORGESTREL-ETHIN ESTRADIOL,1948,8405,10717.6,159480.94,1806,,24,55.2,945.33,*,,6358.33,10608.58,N,N,N,N
AVINZA,MORPHINE SULFATE,41,62,65.5,36456.30,39,,21,22.7,8790.23,,14,222.42,2625.45,Y,N,N,N
AVITA,TRETINOIN,51,99,133.8,16020.43,51,,66,98.8,11595.16,,31,36.00,2135.32,N,N,N,N
AVODART,DUTASTERIDE,20151,100031,149557.7,23556186.18,31833,,96119,144708,22823298.17,,30513,128220.98,4380799.15,N,N,N,N
AVONEX,INTERFERON BETA-1A,4267,46548,50694.1,294664752.68,5561,,23356,25810.5,149934647.46,,2720,283510.23,10060888.67,N,N,N,N
AVONEX,INTERFERON BETA-1A/ALBUMIN,770,5296,5855.1,33845489.24,732,,2722,3085.6,17875690.31,,373,17383.35,1119161.49,N,N,N,N
AVONEX PEN,INTERFERON BETA-1A,3793,49524,54755.4,318115668.74,5777,,22361,25161.3,146281637.43,,2529,243270.72,12396309.53,N,N,N,N
AVYCAZ,CEFTAZIDIME/AVIBACTAM,133,386,386.0,1378666.71,122,,203,203,703651.22,,69,2997.26,57309.20,N,N,Y,N
AXERT,ALMOTRIPTAN MALATE,319,750,792.9,444239.49,295,,390,420.4,227209.10,,172,1057.15,41441.60,N,N,N,N
AXIRON,TESTOSTERONE,8199,31353,41004.5,24528464.58,9263,,23531,31816.9,18964349.22,,7119,35645.69,2289913.16,N,N,N,N
AYGESTIN,NORETHINDRONE ACETATE,23,67,120.7,10322.30,23,,38,83.7,5412.99,#,,18.28,2325.72,N,N,N,N
AZACITIDINE,AZACITIDINE,114,747,752.2,3262424.55,164,,693,698.2,2971268.13,,153,805.13,161796.03,N,N,N,N
AZACTAM,AZTREONAM,526,1499,1499.8,573017.87,582,,1050,1050,391672.40,,440,1104.75,32348.62,N,N,Y,N
AZACTAM-ISO-OSMOTIC DEXTROSE,AZTREONAM/DEXTROSE-WATER,169,521,521.0,208925.18,190,,327,327,119792.47,,131,796.92,8163.43,N,N,Y,N
AZASAN,AZATHIOPRINE,624,2099,3123.9,1317984.99,565,,1242,2046.2,844857.62,,349,2556.23,93173.01,N,N,N,N
AZASITE,AZITHROMYCIN,8822,36136,38715.8,7254047.95,18327,,33382,35803.7,6716546.09,,17029,31398.24,1602859.86,N,N,N,N
AZATHIOPRINE,AZATHIOPRINE,45425,444951,692281.2,21117121.84,84495,,313363,512621,15310843.40,,60296,234375.97,4570649.57,N,N,N,N
AZELASTINE HCL,AZELASTINE HCL,136095,1296312,1621559.9,70572634.52,560148,,1073728,1359480.2,58916155.88,,477812,661074.15,17636223.80,N,N,N,N
AZELEX,AZELAIC ACID,1790,3767,4120.3,1673012.37,2032,,2625,2882,1155013.70,,1545,5481.24,185592.86,N,N,N,N
AZILECT,RASAGILINE MESYLATE,16986,270836,384610.1,216608390.48,44188,,252855,360069,202450456.62,,41153,356879.10,26043214.24,N,N,N,N
AZITHROMYCIN,AZITHROMYCIN,579941,7918962,8031458.0,66287548.45,5713612,,6310308,6403342,53216642.50,,4620273,3464556.62,29803556.15,N,N,Y,N
AZOPT,BRINZOLAMIDE,33296,432998,680508.0,133430691.75,108906,,407976,643458.1,126135421.31,,102953,716153.02,19111436.68,N,N,N,N
AZOR,AMLODIPINE BES/OLMESARTAN MED,35159,274419,444613.9,104329209.13,54129,,250892,410661.2,96152017.26,,49532,471812.79,11898077.69,N,N,N,N
AZTREONAM,AZTREONAM,1912,5483,5484.1,3244530.57,2200,,3521,3521,1901713.67,,1558,9903.99,235798.19,N,N,Y,N
AZULFIDINE,SULFASALAZINE,338,1208,1973.8,356074.58,303,,1128,1847.5,333216.17,,268,1127.67,81933.83,N,N,N,N
AZURETTE,DESOG-E.ESTRADIOL/E.ESTRADIOL,774,3324,4915.5,123877.45,689,,49,67.9,1693.51,,11,3635.99,10537.19,N,N,N,N
B-D SINGLE USE ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,222,919,1033.7,3122.05,269,,782,882.9,2628.55,,220,420.52,137.73,N,N,N,N
BACIIM,BACITRACIN,,16,16.0,1038.79,,*,,,,*,,0.00,385.48,N,N,N,N
BACITRACIN,BACITRACIN,25855,122816,124978.8,10733007.89,82381,,109252,111238.5,9487379.23,,74362,60034.88,1796337.90,N,N,N,N
BACITRACIN-POLYMYXIN,BACITRACIN/POLYMYXIN B SULFATE,13265,39152,39744.4,700178.80,28527,,34134,34680.9,614391.98,,25048,14935.42,259018.89,N,N,N,N
BACLOFEN,BACLOFEN,241233,4183287,5035743.5,98711053.41,1047404,,2106534,2598421,42997366.15,,631492,2496142.29,12490971.95,N,N,N,N
BACTRIM,SULFAMETHOXAZOLE/TRIMETHOPRIM,29,43,82.6,2405.65,27,#,,,,#,,10.15,1033.59,N,N,Y,N
BACTRIM DS,SULFAMETHOXAZOLE/TRIMETHOPRIM,220,325,403.8,24856.08,211,,282,340.8,20596.93,,178,227.31,5617.34,N,N,Y,N
BACTROBAN,MUPIROCIN,81,112,115.8,12764.70,82,,87,88.8,9455.64,,63,89.24,1200.56,N,N,N,N
BACTROBAN,MUPIROCIN CALCIUM,389,610,629.9,180161.76,407,,461,473.5,118205.49,,325,1360.01,11311.28,N,N,N,N
BACTROBAN NASAL,MUPIROCIN CALCIUM,4217,5630,5685.8,1054403.43,4839,,4383,4429.5,807426.51,,3843,8416.05,141246.11,N,N,N,N
BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,14908,122423,184801.9,20927210.81,24426,,109655,168678.9,19013017.24,,21986,62885.75,4277099.96,N,N,N,N
BALZIVA,NORETHINDRONE-ETHINYL ESTRAD,500,2437,3113.9,72751.49,446,,96,121.4,2863.63,,21,2036.71,6027.42,N,N,N,N
BAND-AID GAUZE PADS,GAUZE BANDAGE,74,103,111.7,1033.81,71,,74,78.7,420.89,,56,50.64,78.65,N,N,N,N
BANZEL,RUFINAMIDE,2004,24829,26278.6,61671689.70,2247,,1270,1407.9,3126234.94,,119,11910.80,113528.39,N,N,N,N
BARACLUDE,ENTECAVIR,1300,7957,9357.3,10952560.75,1551,,5831,7032.4,8355491.44,,1113,27064.21,489686.61,N,N,N,N
BASAGLAR KWIKPEN U-100,"INSULIN GLARGINE,HUM.REC.ANLOG",42,64,76.6,19687.01,64,,51,59.8,14888.28,,51,36.60,995.99,N,N,N,N
BCG (TICE STRAIN),BCG LIVE,238,770,876.9,398311.64,450,,753,858.5,389342.01,,438,2996.33,95395.63,N,N,N,N
BCG VACCINE (TICE STRAIN),"BCG VACCINE, LIVE/PF",46,92,96.7,23831.16,52,#,,,,#,,101.35,4171.60,N,N,N,N
BD INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",25,83,89.7,1252.74,33,,69,73.7,1051.30,#,,13.38,69.57,N,N,N,N
BD INSULIN SYRINGE MICRO-FINE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",23,71,86.6,1430.95,21,,57,69.9,1127.73,#,,103.30,147.59,N,N,N,N
BD INSULIN SYRINGE MICRO-FINE,"SYRINGE AND NEEDLE,INSULIN,1ML",25,65,71.7,999.96,27,,54,58.2,839.61,#,,75.51,135.00,N,N,N,N
BD INSULIN SYRINGE MICRO-FINE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",83,246,291.6,4014.99,99,,189,228.6,2827.45,,75,155.54,282.10,N,N,N,N
BD INSULIN SYRINGE ULT-FINE II,"SYRING-NEEDL,DISP,INSUL,0.3 ML",317,593,819.3,17177.42,314,,426,605.1,12652.26,,223,663.62,4204.80,N,N,N,N
BD INSULIN SYRINGE ULT-FINE II,"SYRINGE AND NEEDLE,INSULIN,1ML",822,1527,2156.9,43649.52,854,,957,1407.4,26732.77,,552,1522.04,7306.67,N,N,N,N
BD INSULIN SYRINGE ULT-FINE II,"SYRINGE-NEEDLE,INSULIN,0.5 ML",1372,2143,3071.1,65902.86,1408,,1587,2291.4,48331.08,,1047,3219.54,16863.46,N,N,N,N
BD INSULIN SYRINGE ULTRA-FINE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",133,240,316.2,6081.43,133,,169,231.3,4270.14,,97,222.14,1374.25,N,N,N,N
BD INSULIN SYRINGE ULTRA-FINE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",289,547,735.1,14872.40,286,,344,483.5,9469.18,,189,741.12,3211.81,N,N,N,N
BD ULTRA-FINE II,LANCETS,,127,174.3,841.91,49,,115,157.7,770.36,#,,0.00,0.00,N,N,N,N
BD ULTRA-FINE PEN NEEDLE,"PEN NEEDLE, DIABETIC",223444,3273740,6141202.2,169176409.18,1089438,,2485541,4813445.1,127912299.03,,827143,3724320.75,40807853.49,N,N,N,N
BECONASE AQ,BECLOMETHASONE DIPROPIONATE,2278,6479,9136.1,2198486.61,2258,,4763,7087.2,1699563.58,,1762,6232.56,312638.40,N,N,N,N
BEKYREE,DESOG-E.ESTRADIOL/E.ESTRADIOL,26,66,94.3,2387.46,22,,0,0,0.00,,0,67.70,160.77,N,N,N,N
BELBUCA,BUPRENORPHINE HCL,1851,7626,7676.0,2518707.98,3064,,2417,2434.6,759646.09,,1044,20809.24,222153.78,Y,N,N,N
BELEODAQ,BELINOSTAT,,18,18.0,503453.11,,,18,18,503453.11,*,,0.00,45.00,N,N,N,N
BELLADONNA-OPIUM,OPIUM/BELLADONNA ALKALOIDS,584,1025,1042.6,556172.82,515,,651,662.9,291193.51,,378,949.76,39534.21,Y,N,N,N
BELSOMRA,SUVOREXANT,32819,150644,161617.1,43755201.92,47896,,86745,94938,25300960.62,,31223,318750.05,3747938.43,N,N,N,N
BELVIQ,LORCASERIN HCL,,27,27.0,4905.93,,,12,12,1906.98,*,,0.00,152.65,N,N,N,N
BENAZEPRIL HCL,BENAZEPRIL HCL,189033,3286286,6515812.0,28928792.09,654272,,2902601,5891438.1,26184034.04,,585820,1159353.82,9739901.95,N,N,N,N
BENAZEPRIL-HYDROCHLOROTHIAZIDE,BENAZEPRIL/HYDROCHLOROTHIAZIDE,65916,476111,960479.0,35304040.40,100158,,422856,873971.4,31994708.55,,90136,222722.97,4563244.74,N,N,N,N
BENDEKA,BENDAMUSTINE HCL,26,104,104.0,985976.81,33,,84,84,784412.08,#,,14.60,28340.22,N,N,N,N
BENICAR,OLMESARTAN MEDOXOMIL,121165,1369194,2279793.2,437505625.31,274229,,1268081,2131534,408400365.92,,254953,2056064.46,63322160.26,N,N,N,N
BENICAR HCT,OLMESARTAN/HYDROCHLOROTHIAZIDE,84176,780045,1309269.6,267009776.26,158035,,714701,1213589.1,247144219.55,,145427,1261070.22,36957910.61,N,N,N,N
BENLYSTA,BELIMUMAB,250,3182,3224.6,8612441.10,388,,664,666.2,1727990.39,,78,21795.50,202549.43,N,N,N,N
BENSAL HP,SALICYLIC ACID,25,31,38.0,33543.82,25,#,,,,#,,22.00,1664.85,N,N,N,N
BENTYL,DICYCLOMINE HCL,356,1154,1557.1,114130.13,337,,941,1282.6,76856.08,,292,748.77,22732.23,N,N,N,N
BENZACLIN,CLINDAMYCIN PHOS/BENZOYL PEROX,357,608,632.4,252645.03,348,,184,203.5,80372.68,,117,1183.02,10775.58,N,N,N,N
BENZAMYCIN,ERYTHROMYCIN/BENZOYL PEROXIDE,14,18,24.0,11139.77,14,*,,,,*,,23.23,10.00,N,N,N,N
BENZONATATE,BENZONATATE,6402,28948,29037.2,358559.76,20549,,25960,26031.7,321464.22,,18445,15514.95,85891.24,N,N,N,N
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,88508,2343528,2501053.1,25501933.99,299871,,420735,462204.9,4961684.48,,63467,1756203.31,1575525.97,N,N,N,N
BEPREVE,BEPOTASTINE BESILATE,8681,47312,57239.1,11747480.27,19573,,41464,50254.6,10266484.19,,17327,88561.09,1025263.77,N,N,N,N
BERINERT,C1 ESTERASE INHIBITOR,89,624,624.0,44741957.03,99,,169,169,9425866.90,,32,113344.78,871887.40,N,N,N,N
BESIVANCE,BESIFLOXACIN HCL,11494,257212,270325.9,35366338.97,185602,,241321,253701.3,33162553.87,,174758,341367.29,9578976.85,N,N,N,N
BETADINE,POVIDONE-IODINE,31,102,102.0,1869.77,61,#,,,,#,,14.60,1213.22,N,N,N,N
BETAGAN,LEVOBUNOLOL HCL,154,531,903.8,59186.97,140,,516,871.5,57446.17,#,,259.61,22379.33,N,N,N,N
